id,dataset,complexity,category,entity_types,score,corrupted_q,original_q
BDocs_0275,BDocs,C1,Element,document_element_type,-18,What is the item?,What is the Title?
BDocs_0480,BDocs,C1,Element,document_element_type,-18,What is the logo?,What is the Title?
BDocs_0489,BDocs,C1,Element,document_element_type,-18,What is the image?,What is the Title?
BDocs_0531,BDocs,C1,Element,document_element_type,-18,What is the logo?,What is the Title?
BDocs_0566,BDocs,C1,Element,document_element_type,-21,What are the trends?,What is Gross Amount?
BDocs_0037,BDocs,C1,Element,document_element_type,-23,What is the tagline?,What is the Invoice ID?
BDocs_0062,BDocs,C1,Element,document_element_type,-23,What is the Content ID?,What is the Invoice ID?
BDocs_0090,BDocs,C1,Element,document_element_type,-23,What is the Content ID?,What is the Invoice ID?
BDocs_0201,BDocs,C1,Element,document_element_type,-23,What is the Content ID?,What is the Invoice ID?
BDocs_0254,BDocs,C1,Element,document_element_type,-23,What are the queries?,What is the Invoice ID?
BDocs_0259,BDocs,C1,Element,document_element_type,-23,What is the Content ID?,What is the Invoice ID?
BDocs_0263,BDocs,C1,Element,document_element_type,-23,What is the Policy ID?,What is the Invoice ID?
BDocs_0427,BDocs,C1,Element,document_element_type,-23,What is the Content ID?,What is the Invoice ID?
BDocs_0510,BDocs,C1,Element,document_element_type,-23,What is the item ID?,What is the Invoice ID?
BDocs_0535,BDocs,C1,Element,document_element_type,-23,What is the item ID?,What is the Invoice ID?
BDocs_0553,BDocs,C1,Element,document_element_type,-23,What is the item ID?,What is the Invoice ID?
BDocs_0677,BDocs,C1,Element,document_element_type,-23,What is the Content ID?,What is the Invoice ID?
BDocs_0685,BDocs,C1,Element,document_element_type,-23,What is the Content ID?,What is the Invoice ID?
BDocs_0555,BDocs,C1,Element,document_element_type,-24,What are the queries?,What is the Title?
BDocs_0143,BDocs,C1,Element,document_element_type,-25,What is the placeholder?,What is the Invoice ID?
BDocs_0158,BDocs,C1,Element,document_element_type,-25,What is the emblem's ID?,What is the Invoice ID?
BDocs_0253,BDocs,C1,Element,document_element_type,-25,What is the Description?,What is the Invoice ID?
BDocs_0526,BDocs,C1,Element,document_element_type,-25,What is the Description?,What is the Invoice ID?
BDocs_0551,BDocs,C1,Element,document_element_type,-25,What are the categories?,What is the Invoice ID?
BDocs_0696,BDocs,C1,Element,document_element_type,-25,What is the emblem's ID?,What is the Invoice ID?
BDocs_0520,BDocs,C1,Element,document_element_type,-26,Who wrote this paychecks?,Who wrote this Memorandum?
BDocs_0552,BDocs,C1,Element,document_element_type,-26,What is the quotation?,What is the Title?
BDocs_0744,BDocs,C1,Element,document_element_type,-26,What is the quotation?,What is the Title?
BDocs_0155,BDocs,C1,Element,document_element_type,-27,What is the latest news?,What is Gross Amount?
BDocs_0194,BDocs,C1,Element,document_element_type,-27,What are the estimates?,What is the Charity Number?
BDocs_0247,BDocs,C1,Element,document_element_type,-27,What is the Move fill ID?,What is the Invoice ID?
BDocs_0365,BDocs,C1,Element,document_element_type,-27,What is the cells?,What is the Charity Number?
BDocs_0072,BDocs,C1,Element,document_element_type,-29,What is the branding used?,What is the Invoice ID?
BDocs_0202,BDocs,C1,Element,document_element_type,-29,What is the Accounts Number?,What is the Charity Number?
BDocs_0376,BDocs,C1,Element,document_element_type,-29,What is the tagline?,What is the Bank information?
BDocs_0441,BDocs,C1,Element,document_element_type,-29,What is the item?,What is the Bank information?
BDocs_0474,BDocs,C1,Element,document_element_type,-29,What is the item?,What is the Bank information?
BDocs_0491,BDocs,C1,Element,document_element_type,-29,What is the item?,What is the Bank information?
BDocs_0558,BDocs,C1,Element,document_element_type,-29,What is the item?,What is the Bank information?
BDocs_0094,BDocs,C1,Element,document_element_type,-30,What are the categories?,What is the Title?
BDocs_0163,BDocs,C1,Element,document_element_type,-30,What is the menu item?,What is the Buyer information?
BDocs_0299,BDocs,C1,Element,document_element_type,-30,What is the logo?,What is the Buyer information?
BDocs_0532,BDocs,C1,Element,document_element_type,-30,What is the logo?,What is the Buyer information?
BDocs_0543,BDocs,C1,Element,document_element_type,-30,What is the word?,What is the Buyer information?
BDocs_0637,BDocs,C1,Element,document_element_type,-30,What are the keys?,What is the Buyer information?
BDocs_0104,BDocs,C1,Element,document_element_type,-31,What is the inventory list?,What is the Invoice ID?
BDocs_0138,BDocs,C1,Element,document_element_type,-31,What is the design element?,What is the Invoice ID?
BDocs_0054,BDocs,C1,Element,document_element_type,-32,What is the queries and footers?,What is the Remarks and footers?
BDocs_0152,BDocs,C1,Element,document_element_type,-32,What is the letters and footers?,What is the Remarks and footers?
BDocs_0193,BDocs,C1,Element,document_element_type,-32,What is the queries and footers?,What is the Remarks and footers?
BDocs_0330,BDocs,C1,Element,document_element_type,-32,What is the item and footers?,What is the Remarks and footers?
BDocs_0383,BDocs,C1,Element,document_element_type,-32,What is the image and footers?,What is the Remarks and footers?
BDocs_0442,BDocs,C1,Element,document_element_type,-32,What is the item and footers?,What is the Remarks and footers?
BDocs_0493,BDocs,C1,Element,document_element_type,-32,What is the ID and footer?,What is the Remarks and footers?
BDocs_0496,BDocs,C1,Element,document_element_type,-32,What is the item and footers?,What is the Remarks and footers?
BDocs_0498,BDocs,C1,Element,document_element_type,-32,What is the queries and footers?,What is the Remarks and footers?
BDocs_0513,BDocs,C1,Element,document_element_type,-32,What is the item and footers?,What is the Remarks and footers?
BDocs_0525,BDocs,C1,Element,document_element_type,-32,What are the comments?,What is the Registration Number?
BDocs_0530,BDocs,C1,Element,document_element_type,-32,What is the decorative element?,What is the Buyer information?
BDocs_0564,BDocs,C1,Element,document_element_type,-32,What is the Content and footers?,What is the Remarks and footers?
BDocs_0576,BDocs,C1,Element,document_element_type,-32,What is the item and footers?,What is the Remarks and footers?
BDocs_0599,BDocs,C1,Element,document_element_type,-32,What is the receipt and footers?,What is the Remarks and footers?
BDocs_0626,BDocs,C1,Element,document_element_type,-32,What is the queries and footers?,What is the Remarks and footers?
BDocs_0627,BDocs,C1,Element,document_element_type,-32,What is the item and footers?,What is the Remarks and footers?
BDocs_0634,BDocs,C1,Element,document_element_type,-32,What is the item and footers?,What is the Remarks and footers?
BDocs_0736,BDocs,C1,Element,document_element_type,-32,What is the ID and footer?,What is the Remarks and footers?
BDocs_0092,BDocs,C1,Element,document_element_type,-33,What is the ID of the Items?,What is the Invoice ID?
BDocs_0210,BDocs,C1,Element,document_element_type,-33,What is the ID of the Items?,What is the Invoice ID?
BDocs_0244,BDocs,C1,Element,document_element_type,-33,What is the ID of the Items?,What is the Invoice ID?
BDocs_0145,BDocs,C1,Element,document_element_type,-34,What is the initials and footers?,What is the Remarks and footers?
BDocs_0360,BDocs,C1,Element,document_element_type,-34,What is the branding and footers?,What is the Remarks and footers?
BDocs_0613,BDocs,C1,Element,document_element_type,-34,What is the summary of the event?,What is the Purchase order number?
BDocs_0619,BDocs,C1,Element,document_element_type,-34,What are the queries?,What is the Purchase order number?
BDocs_0097,BDocs,C1,Element,document_element_type,-35,What is the item description?,What is the Invoice ID?
BDocs_0179,BDocs,C1,Element,document_element_type,-35,What is the inventory level?,What is Gross Amount?
BDocs_0207,BDocs,C1,Element,document_element_type,-35,What is the inventory level?,What is Gross Amount?
BDocs_0605,BDocs,C1,Element,document_element_type,-35,What is the inventory level?,What is Gross Amount?
